advertiser_id,hotel_id,cpc,price,currency,availability_start_date,availability_end_date
23,0,178,245,EUR,20200721,20201020
36,0,173,260,EUR,20200802,20200815
27,0,443,111,EUR,20200727,20200907
67,1,548,519,EUR,20200802,20201006
95,1,190,995,EUR,20200723,20201020
17,1,486,28,EUR,20200907,20201105
81,1,332,950,EUR,20200712,20201029
93,1,866,283,EUR,20200817,20201002
86,1,973,280,EUR,20200811,20201012
68,1,760,33,EUR,20200718,20200826
30,2,430,644,EUR,20200808,20201101
66,3,309,579,EUR,20200701,20200828
79,3,200,982,EUR,20200702,20201020
12,4,912,711,EUR,20200822,20201012
97,4,843,578,EUR,20200905,20201010
71,4,877,955,EUR,20200815,20200918
11,4,903,99,EUR,20200928,20201116
51,4,690,192,EUR,20200904,20201015
49,4,147,403,EUR,20200829,20200925
82,4,84,189,EUR,20200712,20201110
88,5,436,333,EUR,20200923,20201017
13,5,963,567,EUR,20200714,20201028
90,5,864,657,EUR,20200827,20200910
42,6,998,15,EUR,20200722,20200918
0,6,319,202,EUR,20200703,20200928
41,6,104,493,EUR,20200727,20200916
93,6,595,96,EUR,20200818,20200921
39,7,967,913,EUR,20200707,20200808
79,7,360,848,EUR,20200802,20201125
40,7,115,567,EUR,20200916,20201122
78,8,364,29,EUR,20200706,20200803
69,8,746,553,EUR,20200719,20200816
13,8,420,910,EUR,20200808,20200823
27,9,316,708,EUR,20200805,20200922
73,9,692,660,EUR,20200902,20200922
57,9,483,34,EUR,20200703,20201122
95,9,677,207,EUR,20200828,20201029
92,9,490,131,EUR,20200929,20201122
50,9,582,477,EUR,20200815,20201115
26,9,296,477,EUR,20200701,20200912
45,10,356,897,EUR,20200817,20200928
13,10,118,488,EUR,20200920,20201112
99,10,57,25,EUR,20200713,20201109
49,10,985,191,EUR,20200927,20201124
55,10,651,434,EUR,20200722,20201114
70,10,31,370,EUR,20200724,20201029
80,10,484,404,EUR,20200806,20201130
9,10,120,318,EUR,20200922,20201024
61,10,397,200,EUR,20200814,20201023
16,11,569,563,EUR,20200920,20201028
87,11,326,759,EUR,20200924,20200928
19,12,850,605,EUR,20200812,20200820
45,12,605,662,EUR,20200826,20201007
12,12,355,467,EUR,20200707,20200930
93,12,545,712,EUR,20200909,20200925
99,12,298,627,EUR,20200713,20201112
38,12,193,936,EUR,20200714,20200829
81,13,78,564,EUR,20200714,20201115
67,13,636,2,EUR,20200812,20200906
57,13,989,643,EUR,20200823,20201112
48,13,274,470,EUR,20200715,20201008
13,14,432,66,EUR,20200816,20200919
41,15,805,939,EUR,20200808,20201105
27,15,93,180,EUR,20200901,20201019
7,15,198,315,EUR,20200717,20201120
16,15,977,266,EUR,20200818,20201106
87,16,606,302,EUR,20200808,20200823
2,16,288,167,EUR,20200822,20201007
80,16,558,697,EUR,20200720,20201103
21,17,947,572,EUR,20200825,20201016
97,17,452,389,EUR,20200824,20200908
72,17,846,835,EUR,20200711,20200908
0,17,226,703,EUR,20200823,20201129
69,17,531,837,EUR,20200805,20201011
54,17,445,986,EUR,20200730,20200929
51,17,326,795,EUR,20200809,20200914
52,17,220,753,EUR,20200810,20200913
3,17,631,799,EUR,20200916,20201016
34,17,861,975,EUR,20200816,20201024
27,18,486,401,EUR,20200712,20201117
81,18,811,548,EUR,20200722,20201112
93,18,125,339,EUR,20200708,20201120
70,18,672,916,EUR,20200829,20201016
73,18,712,598,EUR,20200908,20200929
67,18,886,622,EUR,20200824,20200925
38,18,456,811,EUR,20200930,20201028
17,18,50,667,EUR,20200905,20201130
56,19,707,214,EUR,20200720,20201124
21,19,39,388,EUR,20200801,20200805
91,19,873,240,EUR,20200912,20201001
2,19,906,355,EUR,20200917,20201114
19,19,83,777,EUR,20200915,20200929
87,19,123,894,EUR,20200901,20201101
4,19,5,502,EUR,20200710,20201110
66,20,86,844,EUR,20200804,20200929
73,21,790,742,EUR,20200722,20201015
72,21,865,61,EUR,20200911,20201015
57,22,917,976,EUR,20200717,20200820
51,22,104,251,EUR,20200818,20201023
69,22,360,120,EUR,20200710,20200917
87,22,971,602,EUR,20200719,20200804
13,23,932,42,EUR,20200810,20201022
88,23,187,982,EUR,20200930,20201012
86,23,22,209,EUR,20200901,20200930
40,23,545,646,EUR,20200913,20201010
5,24,723,199,EUR,20200811,20201118
12,24,150,675,EUR,20200716,20201105
13,24,124,807,EUR,20200716,20200811
28,24,232,184,EUR,20200818,20200917
60,24,698,132,EUR,20200830,20200922
96,24,788,163,EUR,20200801,20200818
58,24,935,403,EUR,20200726,20200929
78,24,264,460,EUR,20200721,20201115
47,24,903,468,EUR,20200919,20201004
57,24,375,15,EUR,20200807,20201026
55,25,512,672,EUR,20200901,20201019
29,25,579,873,EUR,20200702,20200819
34,25,465,852,EUR,20200807,20201008
76,25,903,11,EUR,20200804,20201004
3,26,662,970,EUR,20200719,20201001
66,26,273,318,EUR,20200714,20200804
65,26,649,257,EUR,20200821,20200906
52,26,279,139,EUR,20200804,20200917
37,26,261,564,EUR,20200810,20200914
90,27,621,652,EUR,20200719,20201011
14,27,480,417,EUR,20200911,20201113
70,27,732,475,EUR,20200704,20200809
79,27,426,99,EUR,20200801,20201124
80,27,103,939,EUR,20200807,20200822
29,27,951,682,EUR,20200817,20201125
78,28,91,95,EUR,20200713,20201021
64,28,576,34,EUR,20200905,20201005
81,28,637,312,EUR,20200704,20200808
97,28,230,257,EUR,20200722,20200912
7,29,271,931,EUR,20200912,20201105
29,29,811,498,EUR,20200806,20200916
64,29,623,552,EUR,20200827,20201015
52,29,704,998,EUR,20200820,20201002
87,29,65,213,EUR,20200724,20201101
49,29,457,491,EUR,20200819,20201015
19,29,45,500,EUR,20200728,20200908
79,30,296,452,EUR,20200907,20200923
68,30,39,581,EUR,20200706,20201016
13,30,106,414,EUR,20200724,20200805
72,30,954,291,EUR,20200727,20200822
3,31,855,18,EUR,20200910,20201103
32,31,467,939,EUR,20200930,20201020
83,31,372,169,EUR,20200719,20200807
82,31,992,886,EUR,20200911,20200918
4,31,271,588,EUR,20200917,20201030
74,31,96,782,EUR,20200711,20200914
60,32,577,950,EUR,20200714,20200905
87,32,728,170,EUR,20200812,20200818
57,33,124,746,EUR,20200717,20200906
96,33,151,810,EUR,20200729,20201006
69,33,5,679,EUR,20200907,20201120
87,33,633,909,EUR,20200809,20201001
83,34,810,22,EUR,20200902,20201024
6,34,703,389,EUR,20200928,20201124
14,34,946,516,EUR,20200726,20201121
53,34,185,704,EUR,20200707,20200814
75,34,911,818,EUR,20200726,20200804
30,34,538,685,EUR,20200714,20201117
29,34,184,989,EUR,20200812,20201108
75,35,491,541,EUR,20200822,20200914
49,35,949,484,EUR,20200704,20201112
71,35,790,698,EUR,20200808,20201021
53,35,866,817,EUR,20200805,20201112
28,35,961,792,EUR,20200830,20201001
65,35,98,525,EUR,20200707,20200918
14,35,584,165,EUR,20200925,20201103
77,36,186,960,EUR,20200712,20201104
80,36,719,663,EUR,20200827,20200901
63,36,392,198,EUR,20200806,20201126
37,36,639,261,EUR,20200703,20200828
75,37,511,940,EUR,20200923,20201013
87,37,843,700,EUR,20200720,20201127
61,37,167,477,EUR,20200804,20201105
46,37,805,657,EUR,20200730,20201013
20,37,147,648,EUR,20200910,20201020
77,37,667,882,EUR,20200721,20201105
0,37,517,674,EUR,20200812,20200909
52,37,327,230,EUR,20200827,20200912
65,37,256,618,EUR,20200929,20201116
99,38,430,526,EUR,20200818,20200915
57,39,698,811,EUR,20200809,20200903
39,39,632,914,EUR,20200927,20201024
84,39,924,827,EUR,20200820,20201125
95,39,887,582,EUR,20200915,20201002
89,39,937,325,EUR,20200808,20200912
62,39,30,611,EUR,20200705,20200917
8,39,692,961,EUR,20200724,20201107
68,40,242,449,EUR,20200909,20200928
50,40,260,388,EUR,20200703,20201026
28,40,213,358,EUR,20200805,20200918
34,40,201,731,EUR,20200927,20201015
97,40,218,508,EUR,20200825,20201118
60,40,406,412,EUR,20200707,20200829
87,40,310,840,EUR,20200819,20201029
27,41,580,766,EUR,20200811,20200911
81,41,347,571,EUR,20200930,20201002
42,41,692,15,EUR,20200813,20200930
33,41,161,512,EUR,20200817,20201112
40,41,685,837,EUR,20200814,20201024
17,41,589,151,EUR,20200718,20201022
32,42,547,677,EUR,20200809,20201127
20,42,712,564,EUR,20200830,20201023
30,42,616,518,EUR,20200828,20201115
24,42,477,28,EUR,20200820,20201017
28,42,981,930,EUR,20200909,20200910
25,42,70,13,EUR,20200907,20200930
55,43,54,153,EUR,20200719,20200814
52,43,896,226,EUR,20200806,20201107
2,43,346,687,EUR,20200829,20200920
14,43,654,642,EUR,20200810,20200830
85,43,504,960,EUR,20200720,20200801
78,43,521,410,EUR,20200814,20200920
64,43,600,345,EUR,20200906,20201002
99,44,250,103,EUR,20200815,20201115
4,44,912,936,EUR,20200728,20201111
47,44,9,593,EUR,20200813,20200908
52,44,407,253,EUR,20200930,20201122
45,45,335,183,EUR,20200730,20200830
63,45,338,323,EUR,20200706,20201110
57,45,980,759,EUR,20200719,20200913
68,45,863,705,EUR,20200812,20201112
6,45,766,103,EUR,20200815,20201104
87,45,329,674,EUR,20200815,20201010
1,45,952,543,EUR,20200828,20200904
48,45,47,532,EUR,20200902,20201006
72,45,379,728,EUR,20200824,20201117
9,45,974,507,EUR,20200803,20200829
96,46,624,751,EUR,20200818,20200916
77,46,850,525,EUR,20200817,20200917
93,46,959,791,EUR,20200809,20200916
5,46,487,616,EUR,20200702,20201028
83,46,767,409,EUR,20200725,20201112
6,46,72,206,EUR,20200709,20201009
5,47,985,152,EUR,20200923,20201020
88,47,994,577,EUR,20200809,20200917
67,47,80,399,EUR,20200709,20201012
25,47,16,738,EUR,20200730,20200830
71,48,662,835,EUR,20200828,20200902
50,48,129,837,EUR,20200928,20201004
60,49,390,538,EUR,20200725,20201008
18,49,824,415,EUR,20200724,20201016
6,49,189,531,EUR,20200912,20200930
27,49,411,83,EUR,20200724,20200821
86,49,618,545,EUR,20200812,20201102
80,49,867,251,EUR,20200925,20200927
99,49,866,501,EUR,20200715,20200817
11,49,207,380,EUR,20200810,20200927
50,50,997,338,EUR,20200704,20200814
28,50,199,878,EUR,20200810,20200822
94,50,3,628,EUR,20200817,20200830
8,50,340,550,EUR,20200819,20200918
39,50,359,363,EUR,20200725,20201105
66,50,238,415,EUR,20200803,20200809
70,50,427,153,EUR,20200712,20200801
68,51,794,317,EUR,20200728,20200917
17,51,589,199,EUR,20200826,20201024
27,51,919,931,EUR,20200828,20200927
81,51,603,774,EUR,20200723,20200823
67,51,607,116,EUR,20200808,20201102
85,51,463,285,EUR,20200718,20200928
38,51,349,772,EUR,20200814,20201111
62,52,502,832,EUR,20200703,20201111
78,52,316,783,EUR,20200902,20201026
51,52,602,560,EUR,20200901,20201005
79,52,136,546,EUR,20200721,20200910
93,52,796,872,EUR,20200807,20201116
8,52,710,425,EUR,20200719,20200921
87,53,379,513,EUR,20200714,20200908
77,53,178,143,EUR,20200723,20201102
21,53,336,326,EUR,20200707,20201011
7,53,666,828,EUR,20200720,20201020
74,54,684,702,EUR,20200902,20200910
83,54,713,309,EUR,20200821,20200919
0,54,438,589,EUR,20200907,20201125
17,54,284,474,EUR,20200723,20200921
4,54,303,658,EUR,20200819,20201127
90,55,110,361,EUR,20200930,20201107
17,55,162,434,EUR,20200723,20200803
22,55,97,254,EUR,20200804,20200813
81,55,8,506,EUR,20200912,20201124
11,55,430,660,EUR,20200928,20201004
56,55,720,640,EUR,20200703,20201007
33,56,644,403,EUR,20200823,20201130
61,57,543,954,EUR,20200926,20201030
42,57,677,764,EUR,20200901,20200912
54,57,532,938,EUR,20200713,20200809
25,57,436,566,EUR,20200902,20200916
87,57,218,986,EUR,20200707,20200906
6,57,767,935,EUR,20200716,20201020
7,57,686,874,EUR,20200908,20201126
41,57,972,432,EUR,20200803,20200901
33,57,73,954,EUR,20200706,20201102
92,58,19,809,EUR,20200820,20201118
